word	phones	word_info	u-point	u-point_mass	prefix	prefix_info	suffix	suffix_info	morpheme_count
spiffy	spIfi	10.618724940196127	3	3197	spI	7.15708818813861	fi	2.2165346697312134	-1
spigot	spIgxt	9.416259429945471	3	3197	spI	7.15708818813861	gxt	2.988639961749959	0
spic	spIk	7.085297148810427	3	3197	spI	7.15708818813861	k	1.389232030394151	-1
spill	spIl	7.7959288117439725	3	3205	spI	7.15708818813861	l	0.9933501369082647	0
spiller	spIlR	11.736534813990525	4	3205	spIl	8.2555587916089	R	1.0987519712878187	-1
spilled	spIld	7.286472598716598	4	3205	spIl	8.2555587916089	d	1.0782899628472473	-1
spillover	spIlovR	10.206026281150928	4	3205	spIl	8.2555587916089	ovR	2.3432775214771864	0
spilt	spIlt	7.6432239086393485	4	3205	spIl	8.2555587916089	t	1.0589451792400202	-1
spillway	spIlwe	8.274851321030432	4	3205	spIl	8.2555587916089	we	1.8014230733598753	1
spillage	spIlxJ	8.780428709779509	5	3207	spIlx	8.503732668313528	J	1.5402271889897194	-1
spilling	spIlxN	7.73617461948666	5	3207	spIlx	8.503732668313528	N	1.1580395489056459	-1
spin	spIn	8.675683224630362	3	3204	spI	7.15708818813861	n	1.1019361665300267	0
spinner	spInR	9.382552270137472	4	3204	spIn	7.1705343898284	R	1.0987519712878187	1
spindle	spIndxl	9.377781216747785	4	3204	spIn	7.1705343898284	dxl	1.9211746267125624	0
spinney	spIni	-0.0	4	3204	spIn	7.1705343898284	i	1.0037427799968084	0
spinster	spInstR	8.274956566737012	4	3204	spIn	7.1705343898284	stR	1.4915851549607149	1
spinach	spInxC	6.198493658665046	5	3206	spInx	8.307311791731204	C	2.0821186843403945	0
spinning	spInxN	8.032603835007958	5	3206	spInx	8.307311791731204	N	1.1580395489056459	-1
spear	spIr	4.5283132641258	3	3206	spI	7.15708818813861	r	1.5165513584881885	0
spearhead	spIrhEd	8.714619093458913	4	3206	spIr	4.321928094887363	hEd	1.8407704645936829	0
spirituality	spIrxCu@lxti	9.106197939812821	7	3223	spIrxCu	5.392317422778761	@lxti	0.9062028997550042	1
spiritual	spIrxCuxl	8.576761507311632	8	3231	spIrxCux	9.73809225962049	l	0.9933501369082647	1
spiritualist	spIrxCuxlIst	8.745430677908196	10	3233	spIrxCuxlI	3.6699250014423126	st	1.071565497825257	1
spiritualism	spIrxCuxlIzm	6.844316251075319	10	3233	spIrxCuxlI	3.6699250014423126	zm	1.0	1
spiritually	spIrxCuxli	8.411460400641538	9	3231	spIrxCuxl	10.25266543245025	i	1.0037427799968084	1
spirit	spIrxt	6.484390109428189	5	3215	spIrx	10.843135911111348	t	1.0589451792400202	0
spirited	spIrxtxd	9.637460835543955	6	3215	spIrxt	8.271463027904375	xd	0.3670919658255228	1
spit	spIt	9.945956174575628	3	3201	spI	7.15708818813861	t	1.0589451792400202	0
spitball	spItbcl	8.393745686588076	4	3201	spIt	3.8073549220576046	bcl	1.5076116386032061	-1
spitting	spItxN	8.685652416189637	5	3203	spItx	9.659646420772724	N	1.1580395489056459	-1
spittle	spItxl	10.684612289025656	5	3203	spItx	9.659646420772724	l	0.9933501369082647	1
spoil	spOl	9.54865742990875	3	3174	spO	9.73809225962049	l	0.9933501369082647	0
spoiler	spOlR	11.040728196281917	4	3174	spOl	10.60882216426678	R	1.0987519712878187	1
spoiled	spOld	9.207669462203102	4	3174	spOl	10.60882216426678	d	1.0782899628472473	-1
spoiling	spOlxN	10.337959559179295	4	3174	spOl	10.60882216426678	xN	0.9608545890204996	-1
spur	spR	9.30204881694022	2	3173	sp	7.035929411132368	R	1.0987519712878187	0
sporadic	spR@dxk	9.377101048889608	6	3181	spR@dx	9.008428622070582	k	1.389232030394151	0
sporadically	spR@dxkli	7.485271592162481	7	3181	spR@dxk	9.535275376620804	li	0.6292405378534742	1
sperm	spRm	7.586433970050296	3	3173	spR	9.474148160656645	m	1.741999788885468	0
spurn	spRn	10.330526952743986	3	3175	spR	9.474148160656645	n	1.1019361665300267	0
spurned	spRnd	8.745000048029873	4	3175	spRn	10.835260918627489	d	1.0782899628472473	-1
